Title,Slug,Difficulty,Tags,Paid Only
N-Queens,n-queens,Hard,"Array, Backtracking",FALSE
N-Queens II,n-queens-ii,Hard,Backtracking,FALSE
Maximum Subarray,maximum-subarray,Medium,"Array, Divide and Conquer, Dynamic Programming",FALSE
Spiral Matrix,spiral-matrix,Medium,"Array, Matrix, Simulation",FALSE
Jump Game,jump-game,Medium,"Array, Dynamic Programming, Greedy",FALSE
Merge Intervals,merge-intervals,Medium,"Array, Sorting",FALSE
Insert Interval,insert-interval,Medium,Array,FALSE
Length of Last Word,length-of-last-word,Easy,String,FALSE
Spiral Matrix II,spiral-matrix-ii,Medium,"Array, Matrix, Simulation",FALSE
Permutation Sequence,permutation-sequence,Hard,"Math, Recursion",FALSE
Rotate List,rotate-list,Medium,"Linked List, Two Pointers",FALSE
Unique Paths,unique-paths,Medium,"Math, Dynamic Programming, Combinatorics",FALSE
Unique Paths II,unique-paths-ii,Medium,"Array, Dynamic Programming, Matrix",FALSE
Minimum Path Sum,minimum-path-sum,Medium,"Array, Dynamic Programming, Matrix",FALSE
Valid Number,valid-number,Hard,String,FALSE
Plus One,plus-one,Easy,"Array, Math",FALSE
Add Binary,add-binary,Easy,"Math, String, Bit Manipulation, Simulation",FALSE
Text Justification,text-justification,Hard,"Array, String, Simulation",FALSE
Sqrt(x),sqrtx,Easy,"Math, Binary Search",FALSE
Climbing Stairs,climbing-stairs,Easy,"Math, Dynamic Programming, Memoization",FALSE
Simplify Path,simplify-path,Medium,"String, Stack",FALSE
Edit Distance,edit-distance,Medium,"String, Dynamic Programming",FALSE
Set Matrix Zeroes,set-matrix-zeroes,Medium,"Array, Hash Table, Matrix",FALSE
Search a 2D Matrix,search-a-2d-matrix,Medium,"Array, Binary Search, Matrix",FALSE
Sort Colors,sort-colors,Medium,"Array, Two Pointers, Sorting",FALSE
Minimum Window Substring,minimum-window-substring,Hard,"Hash Table, String, Sliding Window",FALSE
Combinations,combinations,Medium,Backtracking,FALSE
Subsets,subsets,Medium,"Array, Backtracking, Bit Manipulation",FALSE
Word Search,word-search,Medium,"Array, String, Backtracking, Depth-First Search, Matrix",FALSE
Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,"Array, Two Pointers",FALSE
Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,"Array, Binary Search",FALSE
Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,"Linked List, Two Pointers",FALSE
Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,Linked List,FALSE
Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,"Array, Stack, Monotonic Stack",FALSE
Maximal Rectangle,maximal-rectangle,Hard,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",FALSE
Partition List,partition-list,Medium,"Linked List, Two Pointers",FALSE
Scramble String,scramble-string,Hard,"String, Dynamic Programming",FALSE
Merge Sorted Array,merge-sorted-array,Easy,"Array, Two Pointers, Sorting",FALSE
Gray Code,gray-code,Medium,"Math, Backtracking, Bit Manipulation",FALSE
Subsets II,subsets-ii,Medium,"Array, Backtracking, Bit Manipulation",FALSE
Decode Ways,decode-ways,Medium,"String, Dynamic Programming",FALSE
Reverse Linked List II,reverse-linked-list-ii,Medium,Linked List,FALSE
Restore IP Addresses,restore-ip-addresses,Medium,"String, Backtracking",FALSE
Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,"Stack, Tree, Depth-First Search, Binary Tree",FALSE
Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree",FALSE
Unique Binary Search Trees,unique-binary-search-trees,Medium,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",FALSE
Interleaving String,interleaving-string,Medium,"String, Dynamic Programming",FALSE
Validate Binary Search Tree,validate-binary-search-tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",FALSE
Recover Binary Search Tree,recover-binary-search-tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",FALSE
Same Tree,same-tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Symmetric Tree,symmetric-tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,"Tree, Breadth-First Search, Binary Tree",FALSE
Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,"Tree, Breadth-First Search, Binary Tree",FALSE
Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",FALSE
Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",FALSE
Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,"Tree, Breadth-First Search, Binary Tree",FALSE
Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree",FALSE
Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree",FALSE
Balanced Binary Tree,balanced-binary-tree,Easy,"Tree, Depth-First Search, Binary Tree",FALSE
Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Path Sum,path-sum,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Path Sum II,path-sum-ii,Medium,"Backtracking, Tree, Depth-First Search, Binary Tree",FALSE
Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,"Linked List, Stack, Tree, Depth-First Search, Binary Tree",FALSE
Distinct Subsequences,distinct-subsequences,Hard,"String, Dynamic Programming",FALSE
Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Pascal's Triangle,pascals-triangle,Easy,"Array, Dynamic Programming",FALSE
Pascal's Triangle II,pascals-triangle-ii,Easy,"Array, Dynamic Programming",FALSE
Triangle,triangle,Medium,"Array, Dynamic Programming",FALSE
Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,"Array, Dynamic Programming",FALSE
Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,"Array, Dynamic Programming, Greedy",FALSE
Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,"Array, Dynamic Programming",FALSE
Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",FALSE
Valid Palindrome,valid-palindrome,Easy,"Two Pointers, String",FALSE
Word Ladder II,word-ladder-ii,Hard,"Hash Table, String, Backtracking, Breadth-First Search",FALSE
Word Ladder,word-ladder,Hard,"Hash Table, String, Breadth-First Search",FALSE
Longest Consecutive Sequence,longest-consecutive-sequence,Medium,"Array, Hash Table, Union Find",FALSE
Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,"Tree, Depth-First Search, Binary Tree",FALSE
Surrounded Regions,surrounded-regions,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",FALSE
Palindrome Partitioning,palindrome-partitioning,Medium,"String, Dynamic Programming, Backtracking",FALSE
Palindrome Partitioning II,palindrome-partitioning-ii,Hard,"String, Dynamic Programming",FALSE
Clone Graph,clone-graph,Medium,"Hash Table, Depth-First Search, Breadth-First Search, Graph",FALSE
Gas Station,gas-station,Medium,"Array, Greedy",FALSE
Candy,candy,Hard,"Array, Greedy",FALSE
Single Number,single-number,Easy,"Array, Bit Manipulation",FALSE
Single Number II,single-number-ii,Medium,"Array, Bit Manipulation",FALSE
Copy List with Random Pointer,copy-list-with-random-pointer,Medium,"Hash Table, Linked List",FALSE
Word Break,word-break,Medium,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",FALSE
Word Break II,word-break-ii,Hard,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization",FALSE
Linked List Cycle,linked-list-cycle,Easy,"Hash Table, Linked List, Two Pointers",FALSE
Linked List Cycle II,linked-list-cycle-ii,Medium,"Hash Table, Linked List, Two Pointers",FALSE
Reorder List,reorder-list,Medium,"Linked List, Two Pointers, Stack, Recursion",FALSE
Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,"Stack, Tree, Depth-First Search, Binary Tree",FALSE
Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,"Stack, Tree, Depth-First Search, Binary Tree",FALSE
LRU Cache,lru-cache,Medium,"Hash Table, Linked List, Design, Doubly-Linked List",FALSE
Insertion Sort List,insertion-sort-list,Medium,"Linked List, Sorting",FALSE
Sort List,sort-list,Medium,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort",FALSE
Max Points on a Line,max-points-on-a-line,Hard,"Array, Hash Table, Math, Geometry",FALSE
Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,"Array, Math, Stack",FALSE
Reverse Words in a String,reverse-words-in-a-string,Medium,"Two Pointers, String",FALSE
Maximum Product Subarray,maximum-product-subarray,Medium,"Array, Dynamic Programming",FALSE
Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,"Array, Binary Search",FALSE
Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,"Array, Binary Search",FALSE
Min Stack,min-stack,Medium,"Stack, Design",FALSE
Binary Tree Upside Down,binary-tree-upside-down,Medium,"Tree, Depth-First Search, Binary Tree",TRUE
Read N Characters Given Read4,read-n-characters-given-read4,Easy,"Array, Simulation, Interactive",TRUE
Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,"Array, Simulation, Interactive",TRUE
Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,"Hash Table, String, Sliding Window",TRUE
Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,"Hash Table, Linked List, Two Pointers",FALSE
One Edit Distance,one-edit-distance,Medium,"Two Pointers, String",TRUE
Find Peak Element,find-peak-element,Medium,"Array, Binary Search",FALSE
Missing Ranges,missing-ranges,Easy,Array,TRUE
Maximum Gap,maximum-gap,Medium,"Array, Sorting, Bucket Sort, Radix Sort",FALSE
Compare Version Numbers,compare-version-numbers,Medium,"Two Pointers, String",FALSE
Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,"Hash Table, Math, String",FALSE
Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,"Array, Two Pointers, Binary Search",FALSE
Excel Sheet Column Title,excel-sheet-column-title,Easy,"Math, String",FALSE
Majority Element,majority-element,Easy,"Array, Hash Table, Divide and Conquer, Sorting, Counting",FALSE
Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,"Array, Hash Table, Two Pointers, Design, Data Stream",TRUE
Excel Sheet Column Number,excel-sheet-column-number,Easy,"Math, String",FALSE
Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,Math,FALSE
Binary Search Tree Iterator,binary-search-tree-iterator,Medium,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator",FALSE
Dungeon Game,dungeon-game,Hard,"Array, Dynamic Programming, Matrix",FALSE
Largest Number,largest-number,Medium,"Array, String, Greedy, Sorting",FALSE
Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,"Two Pointers, String",TRUE
Repeated DNA Sequences,repeated-dna-sequences,Medium,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function",FALSE
Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,"Array, Dynamic Programming",FALSE
Rotate Array,rotate-array,Medium,"Array, Math, Two Pointers",FALSE
Reverse Bits,reverse-bits,Easy,"Divide and Conquer, Bit Manipulation",FALSE
Number of 1 Bits,number-of-1-bits,Easy,"Divide and Conquer, Bit Manipulation",FALSE
House Robber,house-robber,Medium,"Array, Dynamic Programming",FALSE
Binary Tree Right Side View,binary-tree-right-side-view,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Number of Islands,number-of-islands,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",FALSE
Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,Bit Manipulation,FALSE
Happy Number,happy-number,Easy,"Hash Table, Math, Two Pointers",FALSE
Remove Linked List Elements,remove-linked-list-elements,Easy,"Linked List, Recursion",FALSE
Count Primes,count-primes,Medium,"Array, Math, Enumeration, Number Theory",FALSE
Isomorphic Strings,isomorphic-strings,Easy,"Hash Table, String",FALSE
Reverse Linked List,reverse-linked-list,Easy,"Linked List, Recursion",FALSE
Course Schedule,course-schedule,Medium,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",FALSE
Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,"Hash Table, String, Design, Trie",FALSE
Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,"Array, Binary Search, Sliding Window, Prefix Sum",FALSE
Course Schedule II,course-schedule-ii,Medium,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",FALSE
Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,"String, Depth-First Search, Design, Trie",FALSE
Word Search II,word-search-ii,Hard,"Array, String, Backtracking, Trie, Matrix",FALSE
House Robber II,house-robber-ii,Medium,"Array, Dynamic Programming",FALSE
Shortest Palindrome,shortest-palindrome,Hard,"String, Rolling Hash, String Matching, Hash Function",FALSE
Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",FALSE
Combination Sum III,combination-sum-iii,Medium,"Array, Backtracking",FALSE
Contains Duplicate,contains-duplicate,Easy,"Array, Hash Table, Sorting",FALSE
The Skyline Problem,the-skyline-problem,Hard,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set",FALSE
Contains Duplicate II,contains-duplicate-ii,Easy,"Array, Hash Table, Sliding Window",FALSE
Contains Duplicate III,contains-duplicate-iii,Hard,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set",FALSE
Maximal Square,maximal-square,Medium,"Array, Dynamic Programming, Matrix",FALSE
Count Complete Tree Nodes,count-complete-tree-nodes,Easy,"Binary Search, Bit Manipulation, Tree, Binary Tree",FALSE
Rectangle Area,rectangle-area,Medium,"Math, Geometry",FALSE
Basic Calculator,basic-calculator,Hard,"Math, String, Stack, Recursion",FALSE
Implement Stack using Queues,implement-stack-using-queues,Easy,"Stack, Design, Queue",FALSE
Invert Binary Tree,invert-binary-tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Basic Calculator II,basic-calculator-ii,Medium,"Math, String, Stack",FALSE
Summary Ranges,summary-ranges,Easy,Array,FALSE
Majority Element II,majority-element-ii,Medium,"Array, Hash Table, Sorting, Counting",FALSE
Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",FALSE
Power of Two,power-of-two,Easy,"Math, Bit Manipulation, Recursion",FALSE
Implement Queue using Stacks,implement-queue-using-stacks,Easy,"Stack, Design, Queue",FALSE
Number of Digit One,number-of-digit-one,Hard,"Math, Dynamic Programming, Recursion",FALSE
Palindrome Linked List,palindrome-linked-list,Easy,"Linked List, Two Pointers, Stack, Recursion",FALSE
Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",FALSE
Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,"Tree, Depth-First Search, Binary Tree",FALSE
Delete Node in a Linked List,delete-node-in-a-linked-list,Medium,Linked List,FALSE
Product of Array Except Self,product-of-array-except-self,Medium,"Array, Prefix Sum",FALSE
Sliding Window Maximum,sliding-window-maximum,Hard,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",FALSE
Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,"Array, Binary Search, Divide and Conquer, Matrix",FALSE
Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,"Math, String, Dynamic Programming, Recursion, Memoization",FALSE
Valid Anagram,valid-anagram,Easy,"Hash Table, String, Sorting",FALSE
Shortest Word Distance,shortest-word-distance,Easy,"Array, String",TRUE
Shortest Word Distance II,shortest-word-distance-ii,Medium,"Array, Hash Table, Two Pointers, String, Design",TRUE
Shortest Word Distance III,shortest-word-distance-iii,Medium,"Array, String",TRUE
Strobogrammatic Number,strobogrammatic-number,Easy,"Hash Table, Two Pointers, String",TRUE
Strobogrammatic Number II,strobogrammatic-number-ii,Medium,"Array, String, Recursion",TRUE
Strobogrammatic Number III,strobogrammatic-number-iii,Hard,"Array, String, Recursion",TRUE
Group Shifted Strings,group-shifted-strings,Medium,"Array, Hash Table, String",TRUE
Count Univalue Subtrees,count-univalue-subtrees,Medium,"Tree, Depth-First Search, Binary Tree",TRUE
Flatten 2D Vector,flatten-2d-vector,Medium,"Array, Two Pointers, Design, Iterator",TRUE
Meeting Rooms,meeting-rooms,Easy,"Array, Sorting",TRUE
Meeting Rooms II,meeting-rooms-ii,Medium,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",TRUE
Factor Combinations,factor-combinations,Medium,Backtracking,TRUE
Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,Medium,"Array, Stack, Tree, Binary Search Tree, Recursion, Monotonic Stack, Binary Tree",TRUE
Paint House,paint-house,Medium,"Array, Dynamic Programming",TRUE
Binary Tree Paths,binary-tree-paths,Easy,"String, Backtracking, Tree, Depth-First Search, Binary Tree",FALSE
Add Digits,add-digits,Easy,"Math, Simulation, Number Theory",FALSE
3Sum Smaller,3sum-smaller,Medium,"Array, Two Pointers, Binary Search, Sorting",TRUE
Single Number III,single-number-iii,Medium,"Array, Bit Manipulation",FALSE
Graph Valid Tree,graph-valid-tree,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph",TRUE
Ugly Number,ugly-number,Easy,Math,FALSE
Ugly Number II,ugly-number-ii,Medium,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)",FALSE
Paint House II,paint-house-ii,Hard,"Array, Dynamic Programming",TRUE
Palindrome Permutation,palindrome-permutation,Easy,"Hash Table, String, Bit Manipulation",TRUE
Palindrome Permutation II,palindrome-permutation-ii,Medium,"Hash Table, String, Backtracking",TRUE
Missing Number,missing-number,Easy,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",FALSE
Alien Dictionary,alien-dictionary,Hard,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort",TRUE
Closest Binary Search Tree Value,closest-binary-search-tree-value,Easy,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree",TRUE
Encode and Decode Strings,encode-and-decode-strings,Medium,"Array, String, Design",TRUE
Closest Binary Search Tree Value II,closest-binary-search-tree-value-ii,Hard,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree",TRUE
Integer to English Words,integer-to-english-words,Hard,"Math, String, Recursion",FALSE
H-Index,h-index,Medium,"Array, Sorting, Counting Sort",FALSE
H-Index II,h-index-ii,Medium,"Array, Binary Search",FALSE
Paint Fence,paint-fence,Medium,Dynamic Programming,TRUE
Find the Celebrity,find-the-celebrity,Medium,"Two Pointers, Graph, Interactive",TRUE
First Bad Version,first-bad-version,Easy,"Binary Search, Interactive",FALSE
Perfect Squares,perfect-squares,Medium,"Math, Dynamic Programming, Breadth-First Search",FALSE
Wiggle Sort,wiggle-sort,Medium,"Array, Greedy, Sorting",TRUE
Zigzag Iterator,zigzag-iterator,Medium,"Array, Design, Queue, Iterator",TRUE
Expression Add Operators,expression-add-operators,Hard,"Math, String, Backtracking",FALSE
Move Zeroes,move-zeroes,Easy,"Array, Two Pointers",FALSE
Peeking Iterator,peeking-iterator,Medium,"Array, Design, Iterator",FALSE
Inorder Successor in BST,inorder-successor-in-bst,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",TRUE
Walls and Gates,walls-and-gates,Medium,"Array, Breadth-First Search, Matrix",TRUE
Find the Duplicate Number,find-the-duplicate-number,Medium,"Array, Two Pointers, Binary Search, Bit Manipulation",FALSE
Unique Word Abbreviation,unique-word-abbreviation,Medium,"Array, Hash Table, String, Design",TRUE
Game of Life,game-of-life,Medium,"Array, Matrix, Simulation",FALSE
Word Pattern,word-pattern,Easy,"Hash Table, String",FALSE
Word Pattern II,word-pattern-ii,Medium,"Hash Table, String, Backtracking",TRUE
Nim Game,nim-game,Easy,"Math, Brainteaser, Game Theory",FALSE
Flip Game,flip-game,Easy,String,TRUE
Flip Game II,flip-game-ii,Medium,"Math, Dynamic Programming, Backtracking, Memoization, Game Theory",TRUE
Find Median from Data Stream,find-median-from-data-stream,Hard,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",FALSE
Best Meeting Point,best-meeting-point,Hard,"Array, Math, Sorting, Matrix",TRUE
Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,Hard,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",FALSE
Binary Tree Longest Consecutive Sequence,binary-tree-longest-consecutive-sequence,Medium,"Tree, Depth-First Search, Binary Tree",TRUE
Bulls and Cows,bulls-and-cows,Medium,"Hash Table, String, Counting",FALSE
Longest Increasing Subsequence,longest-increasing-subsequence,Medium,"Array, Binary Search, Dynamic Programming",FALSE
Remove Invalid Parentheses,remove-invalid-parentheses,Hard,"String, Backtracking, Breadth-First Search",FALSE
Smallest Rectangle Enclosing Black Pixels,smallest-rectangle-enclosing-black-pixels,Hard,"Array, Binary Search, Depth-First Search, Breadth-First Search, Matrix",TRUE
Range Sum Query - Immutable,range-sum-query-immutable,Easy,"Array, Design, Prefix Sum",FALSE
Range Sum Query 2D - Immutable,range-sum-query-2d-immutable,Medium,"Array, Design, Matrix, Prefix Sum",FALSE
Number of Islands II,number-of-islands-ii,Hard,"Array, Hash Table, Union Find",TRUE
Additive Number,additive-number,Medium,"String, Backtracking",FALSE
Range Sum Query - Mutable,range-sum-query-mutable,Medium,"Array, Design, Binary Indexed Tree, Segment Tree",FALSE
Range Sum Query 2D - Mutable,range-sum-query-2d-mutable,Medium,"Array, Design, Binary Indexed Tree, Segment Tree, Matrix",TRUE
Best Time to Buy and Sell Stock with Cooldown,best-time-to-buy-and-sell-stock-with-cooldown,Medium,"Array, Dynamic Programming",FALSE
Minimum Height Trees,minimum-height-trees,Medium,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",FALSE
Sparse Matrix Multiplication,sparse-matrix-multiplication,Medium,"Array, Hash Table, Matrix",TRUE
Burst Balloons,burst-balloons,Hard,"Array, Dynamic Programming",FALSE
Super Ugly Number,super-ugly-number,Medium,"Array, Math, Dynamic Programming",FALSE
